,AMBI,LEBI,MAWR,SORA,SWSP,VIRA,AMWO,COYE,RWBL,YWAR,SOSP,CHSP,NOCA,WIFL,TRES,BARS,BANS,EAKI,PUMA,CSWA,COGR,CLIFF,AMRO
1,0,0,0,0,0.1428571,0,0,0.6666667,0.08,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0.1666667,0.08,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0.4285714,0,0,0.5,0.08,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.1428571,0,0,0.3333333,0.24,0.2,0,0,0,0,0.25,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0.5,0.24,0,0.5,1,0,0,0.25,0,0,0,0,0,0,0,0
6,0,0,0,0,0.7142857,0,0,0.1666667,0.16,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.8571429,0,0,0.5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.4285714,0,1,0.1666667,0.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0.625,0,0.2857143,0.3333333,0,0.3333333,0.08,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0.625,0,0.8571429,0,0,0.3333333,0.2,0.2,0,0,0,0,0.25,0,0,0,0,0,0,0,0
11,0,0,0.125,0,0.1428571,0,0,0,0.24,0.2,0,0,0,0,0.5,1,0,0,0,0,0,0,0
12,0,0,0.375,0.5,0.1428571,0,0,0.6666667,0.32,0.2,0,0,0,0,0.75,1,0,0,0,0,1,0,0
13,1,0,1,0,0.2857143,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0.7142857,0,0,0.5,0.2,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
15,0,0,0,0,0.4285714,0,0,0.8333333,0.24,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0,0
16,0,0,0,0,0.4285714,0,0,0.8333333,0.04,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17,0,0,0.25,0,0.5714286,0,0,0.5,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0.625,0,0.1428571,0,0,0.1666667,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,1,0.125,0,0.8571429,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,0,0.75,0,0.1428571,0.3333333,0,0.3333333,0.44,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0.5,0.56,0.2,1,0,0,0,0.75,0.5,0,0,1,1,1,0,0
22,0,0,0,1,0.1428571,0,0,0,0.24,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,0
23,0,0,0.625,0,0.4285714,0.3333333,0,0.5,0.44,0,0.5,0,0,0,0,0,0,0.3333333,0,0,0,0,0
24,0,0,0,0,0.1428571,0,0,0.3333333,0.56,0.2,0,0,0,0,0.25,0.5,1,0.3333333,0,0,0,0,0
25,0,0,0,0,0.1428571,0,0,0.8333333,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,0,0,0.125,0,0.8571429,0.3333333,0,1,0.28,0.4,1,0,0,0,1,0.5,0,0,0,0,0,1,0
27,0,0,0.25,0,1,0,0,0.6666667,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0.125,0,0,0,0,0.3333333,0.28,0.4,0.5,0,0,0,0,0,0,0.3333333,0,0,0,0,0
29,0,0,0.625,0,0.1428571,0,0,0.5,0.16,0.2,0,0,0,0,0,0.5,0,0,0,0,0,0,0
30,0,0,0.25,0,0.1428571,0,0,0.5,0.28,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0.375,0,0.4285714,0,0,0.3333333,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0.25,0,0.4285714,0,0,0.3333333,0.36,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
33,0,1,0.75,0,0.1428571,0,0,0,0.16,0.2,0,0,0,0,0.25,0,1,0,0,0,0,0,0
34,0.5,0,0.125,0,0.8571429,0,0,0.8333333,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0.125,0,0.2857143,1,0,0.8333333,0.48,0,0,0,0,1,0,0,0,0.6666667,0,0,0,0,0
36,0,0,0.125,0,0.2857143,0,0,0.8333333,0.52,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0.5,0,0.8571429,0,0,0.3333333,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0.875,0,0.5714286,0,0,0.6666667,0.48,0,0,0,0,0,0.25,0,0,0.3333333,0,0,0,0,0
39,0,0,0.5,0,0.4285714,0,0,0.6666667,0.52,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0
40,0,0,0.625,0,0.1428571,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
