Site,Year,VegType,Depth,AMBI,LEBI,MAWR,SORA,SWSP,VIRA,AMWO,COYE,RWBL,YWAR,SOSP,CHSP,NOCA,WIFL,TRES,BARS,BANS,EAKI,PUMA,CSWA,COGR,CLIFF,AMRO
CM10_15,2015,Meadow,16,0,0,0,0,0,0,0,3,14,1,2,0,0,0,3,1,0,0,1,1,1,0,0
CM9_15,2015,Meadow,15,0,0,0,2,1,0,0,0,6,0,1,0,0,0,2,0,0,0,1,0,0,0,0
LP12_15,2015,Meadow,14,0,0,5,0,3,1,0,3,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0
LP5_15,2015,Meadow,7,0,0,0,0,1,0,0,2,14,1,0,0,0,0,1,1,1,1,0,0,0,0,0
LP6_15,2015,Meadow,0,0,0,0,0,1,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,1
LP8R_15,2015,Meadow,8,0,0,1,0,6,1,0,6,7,2,2,0,0,0,4,1,0,0,0,0,0,1,0
CM19_15,2015,Invaded,19,0,0,2,0,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2_15,2015,Invaded,5,0,0,1,0,0,0,0,2,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0
CM6_15,2015,Invaded,29,0,0,5,0,1,0,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
LP1_15,2015,Invaded,36,0,0,2,0,1,0,0,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LP12R_15,2015,Invaded,42,0,0,3,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP16R_15,2015,Invaded,38,0,0,2,0,3,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CM4R_15,2015,Emergent,32,0,1,6,0,1,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0
CM5R_15,2015,Emergent,39,1,0,1,0,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP10_15,2015,Emergent,22,0,0,1,0,2,3,0,5,12,0,0,0,0,1,0,0,0,2,0,0,0,0,0
LP10R_15,2015,Emergent,21,0,0,1,0,2,0,0,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LP15_15,2015,Emergent,26,0,0,4,0,6,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP5R_15,2015,Emergent,39,0,0,7,0,4,0,0,4,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LP6R_15,2015,Emergent,28,0,0,4,0,3,0,0,4,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LP7R_15,2015,Emergent,42,0,0,5,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CM10_14,2014,Meadow,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM19_14,2014,Invaded,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2_14,2014,Invaded,0,0,0,0,0,3,0,1,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CM4R_14,2014,Emergent,34,2,0,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM5R_14,2014,Emergent,9,0,0,0,0,5,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CM6_14,2014,Invaded,6,0,0,5,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM9_14,2014,Meadow,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LP1_14,2014,Invaded,9,0,0,5,0,6,0,0,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
LP10_14,2014,Emergent,0,0,0,0,0,3,0,0,5,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0
LP10R_14,2014,Emergent,0.33,0,0,0,0,3,0,0,5,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0
LP12_14,2014,Meadow,0,0,0,0,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
LP12R_14,2014,Invaded,7,0,0,1,0,1,0,0,0,6,1,0,0,0,0,2,2,0,0,0,0,0,0,0
LP15_14,2014,Emergent,4,0,0,2,0,4,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP16R_14,2014,Invaded,16,0,0,3,1,1,0,0,4,8,1,0,0,0,0,3,2,0,0,0,0,1,0,0
LP5_14,2014,Meadow,0,0,0,0,0,1,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0
LP5R_14,2014,Emergent,13,0,0,5,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP6_14,2014,Meadow,0,0,0,0,0,0,0,0,3,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0
LP6R_14,2014,Emergent,1,0,1,1,0,6,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP7R_14,2014,Emergent,12,1,0,6,0,1,1,0,2,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0
LP8R_14,2014,Meadow,0,0,0,0,0,5,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
