"","Year2014.Site","Year2014.VegType","LCBD2014","LCBD2015","LCBDdiff","TBI.B/(2A+B+C)","TBI.C/(2A+B+C)","TBI.D=(B+C)/(2A+B+C)","TBI.Change","p.TBI"
"1","CM10_14","Meadow",0.04645560,0.05014927, 0.003693677,0.05714286,0.6000000,0.6571429,+  ,0.186
"2","CM19_14","Invaded",0.04315607,0.08997777, 0.046821700,0.32000000,0.3600000,0.6800000,+  ,0.131
"3","CM2_14","Invaded",0.02153647,0.05113195, 0.029595483,0.05000000,0.3000000,0.3500000,+  ,0.908
"4","CM4R_14","Emergent",0.12124900,0.04146118,-0.079787820,0.30555556,0.5277778,0.8333333,+  ,0.018
"5","CM5R_14","Emergent",0.06212209,0.02640905,-0.035713042,0.14705882,0.3235294,0.4705882,+  ,0.650
"6","CM6_14","Invaded",0.05502379,0.02824501,-0.026778776,0.09090909,0.5000000,0.5909091,+  ,0.323
"7","CM9_14","Meadow",0.07485454,0.05064635,-0.024208188,0.04761905,0.6666667,0.7142857,+  ,0.106
"8","LP1_14","Invaded",0.04894537,0.02984169,-0.019103683,0.32352941,0.1470588,0.4705882,-  ,0.607
"9","LP10_14","Emergent",0.05221660,0.04263854,-0.009578064,0.25000000,0.1875000,0.4375000,-  ,0.739
"10","LP10R_14","Emergent",0.05759652,0.04429739,-0.013299131,0.30000000,0.3000000,0.6000000,0  ,0.305
"11","LP12_14","Meadow",0.04786658,0.05406081, 0.006194228,0.14285714,0.1904762,0.3333333,+  ,0.943
"12","LP12R_14","Invaded",0.03867879,0.04266220, 0.003983412,0.13333333,0.2666667,0.4000000,+  ,0.807
"13","LP15_14","Emergent",0.05109404,0.09452751, 0.043433467,0.29032258,0.2580645,0.5483871,-  ,0.425
"14","LP16R_14","Invaded",0.02905092,0.03850845, 0.009457529,0.27906977,0.1627907,0.4418605,-  ,0.692
"15","LP5_14","Meadow",0.04796502,0.03558245,-0.012382564,0.05405405,0.4594595,0.5135135,+  ,0.530
"16","LP5R_14","Emergent",0.04626943,0.05653058, 0.010261152,0.12121212,0.4545455,0.5757576,+  ,0.384
"17","LP6_14","Meadow",0.02844023,0.04542190, 0.016981671,0.12121212,0.3939394,0.5151515,+  ,0.513
"18","LP6R_14","Emergent",0.04150518,0.04421900, 0.002713829,0.06666667,0.3555556,0.4222222,+  ,0.771
"19","LP7R_14","Emergent",0.05577960,0.06947543, 0.013695836,0.12244898,0.1428571,0.2653061,+  ,0.984
"20","LP8R_14","Meadow",0.03019418,0.06421346, 0.034019284,0.15909091,0.6136364,0.7727273,+  ,0.039
