"","Site","Year","VegType","VegYr","Depth","AMBI","LEBI","MAWR","SORA","SWSP","VIRA","AMWO","COYE","RWBL","YWAR","SOSP","CHSP","NOCA","WIFL","TRES","BARS","BANS","EAKI","PUMA","CSWA","COGR","CLIFF","AMRO","LCBD"
"1","CM10_14",2014,"Meadow","Meadow_2014",0,0,0,0,0,0.009434,0,0,0.036364,0.007067,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508449045763603
"2","CM19_14",2014,"Invaded","Invaded_2014",0,0,0,0,0,0.056604,0,0,0.027273,0.010601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421595913839052
"3","CM2_14",2014,"Invaded","Invaded_2014",0,0,0,0,0,0.028302,0,1,0.009091,0.028269,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0.0691040993330728
"4","CM4R_14",2014,"Emergent","Emergent_2014",34,0.5,0,0.093023,0,0.018868,0,0,0.018182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605273214971732
"5","CM5R_14",2014,"Emergent","Emergent_2014",9,0,0,0,0,0.04717,0,0,0.027273,0.017668,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0571744655591313
"6","CM6_14",2014,"Invaded","Invaded_2014",6,0,0,0.05814,0,0.018868,0.142857,0,0.018182,0.007067,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318993127883563
"7","CM9_14",2014,"Meadow","Meadow_2014",0,0,0,0,0,0,0,0,0.009091,0.007067,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318524069420058
"8","LP1_14",2014,"Invaded","Invaded_2014",9,0,0,0.05814,0,0.056604,0,0,0.018182,0.017668,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0933752692180642
"9","LP10_14",2014,"Emergent","Emergent_2014",0,0,0,0,0,0.028302,0,0,0.045455,0.021201,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.0686776250635525
"10","LP10R_14",2014,"Emergent","Emergent_2014",0.33,0,0,0,0,0.028302,0,0,0.045455,0.003534,0.2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.0387759618674755
"11","LP12_14",2014,"Meadow","Meadow_2014",0,0,0,0,0,0.028302,0,0,0.027273,0.007067,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0504449681713238
"12","LP12R_14",2014,"Invaded","Invaded_2014",7,0,0,0.011628,0,0.009434,0,0,0,0.021201,0.04,0,0,0,0,0.08,0.2,0,0,0,0,0,0,0,0.0320330825701091
"13","LP15_14",2014,"Emergent","Emergent_2014",4,0,0,0.023256,0,0.037736,0,0,0.027273,0.024735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501455881232001
"14","LP16R_14",2014,"Invaded","Invaded_2014",16,0,0,0.034884,0.333333,0.009434,0,0,0.036364,0.028269,0.04,0,0,0,0,0.12,0.2,0,0,0,0,0.5,0,0,0.0429367700243555
"15","LP5_14",2014,"Meadow","Meadow_2014",0,0,0,0,0,0.009434,0,0,0.018182,0.021201,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0682722033909829
"16","LP5R_14",2014,"Emergent","Emergent_2014",13,0,0,0.05814,0,0.009434,0,0,0.009091,0.014134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267250897984776
"17","LP6_14",2014,"Meadow","Meadow_2014",0,0,0,0,0,0,0,0,0.027273,0.021201,0,0.083333,1,0,0,0.04,0,0,0,0,0,0,0,0,0.0626700920569079
"18","LP6R_14",2014,"Emergent","Emergent_2014",1,0,0.5,0.011628,0,0.056604,0,0,0.027273,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03406406239699
"19","LP7R_14",2014,"Emergent","Emergent_2014",12,0.25,0,0.069767,0,0.009434,0.142857,0,0.018182,0.038869,0,0,0,0,0,0.04,0.1,0,0,0,0,0,0,0,0.0545135105308588
"20","LP8R_14",2014,"Meadow","Meadow_2014",0,0,0,0,0,0.04717,0,0,0.009091,0.014134,0.04,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0.0338036747076973
"21","CM10_15",2015,"Meadow","Meadow_2015",16,0,0,0,0,0,0,0,0.027273,0.04947,0.04,0.166667,0,0,0,0.12,0.1,0,0,0.5,0.5,0.5,0,0,0.0772328054710703
"22","CM9_15",2015,"Meadow","Meadow_2015",15,0,0,0,0.666667,0.009434,0,0,0,0.021201,0,0.083333,0,0,0,0.08,0,0,0,0.5,0,0,0,0,0.0875164564193141
"23","LP12_15",2015,"Meadow","Meadow_2015",14,0,0,0.05814,0,0.028302,0.142857,0,0.027273,0.038869,0,0.083333,0,0,0,0,0,0,0.1,0,0,0,0,0,0.0463934291759935
"24","LP5_15",2015,"Meadow","Meadow_2015",7,0,0,0,0,0.009434,0,0,0.018182,0.04947,0.04,0,0,0,0,0.04,0.1,0.5,0.1,0,0,0,0,0,0.0458341843788917
