Site ,Year,VegType,VegYr,Axis1,Axis2,Axis3
CM10_15,2015,Meadow,Meadow_2015,-1.3464,-0.4001,-0.3625
CM9_15,2015,Meadow,Meadow_2015,-1.7389,0.0623,-0.3019
LP12_15,2015,Meadow,Meadow_2015,-0.1086,0.5505,0.1816
LP5_15,2015,Meadow,Meadow_2015,-0.4992,0.4177,-0.7315
LP6_15,2015,Meadow,Meadow_2015,-0.2325,1.4252,0.775
LP8R_15,2015,Meadow,Meadow_2015,-0.9601,0.3317,-0.0751
CM19_15,2015,Invaded,Invaded_2015,0.5951,-0.1162,0.2858
CM2_15,2015,Invaded,Invaded_2015,-0.4595,0.0707,0.3261
CM6_15,2015,Invaded,Invaded_2015,0.1688,-0.1514,-0.4788
LP1_15,2015,Invaded,Invaded_2015,-0.217,-0.1885,0.1985
LP12R_15,2015,Invaded,Invaded_2015,0.7521,-0.1638,0.028
LP16R_15,2015,Invaded,Invaded_2015,0.2009,0.1954,-0.2739
CM4R_15,2015,Emergent,Emergent_2015,0.0671,0.0474,-1.407
CM5R_15,2015,Emergent,Emergent_2015,0.6928,0.3855,0.4726
LP10_15,2015,Emergent,Emergent_2015,-0.1545,1.555,0.0759
LP10R_15,2015,Emergent,Emergent_2015,0.1566,-0.3325,0.0176
LP15_15,2015,Emergent,Emergent_2015,0.5861,0.0527,0.0839
LP5R_15,2015,Emergent,Emergent_2015,0.1355,0.4361,0.0177
LP6R_15,2015,Emergent,Emergent_2015,0.2703,0.4467,0.1015
LP7R_15,2015,Emergent,Emergent_2015,0.4161,0.3906,-0.6383
CM10_14,2014,Meadow,Meadow_2014,0.2962,-0.7089,-0.0425
CM19_14,2014,Invaded,Invaded_2014,0.6158,-0.2883,0.4789
CM2_14,2014,Invaded,Invaded_2014,-0.8034,0.0823,1.3954
CM4R_14,2014,Emergent,Emergent_2014,1.2699,0.6706,-0.2215
CM5R_14,2014,Emergent,Emergent_2014,0.2656,-0.2017,0.2843
CM6_14,2014,Invaded,Invaded_2014,0.5062,-0.1205,-0.5065
CM9_14,2014,Meadow,Meadow_2014,0.3173,-1.1135,-0.2919
LP1_14,2014,Invaded,Invaded_2014,0.1758,-0.158,-0.1293
LP10_14,2014,Emergent,Emergent_2014,-0.1141,-0.3361,-0.0734
LP10R_14,2014,Emergent,Emergent_2014,-0.4676,-1.1918,0.2198
LP12_14,2014,Meadow,Meadow_2014,0.1242,-1.2597,0.9009
LP12R_14,2014,Invaded,Invaded_2014,-0.3704,-0.3386,-0.7053
LP15_14,2014,Emergent,Emergent_2014,0.5284,-0.0884,0.2272
LP16R_14,2014,Invaded,Invaded_2014,-0.7818,-0.0705,-0.7711
LP5_14,2014,Meadow,Meadow_2014,0.0233,-0.4855,-0.265
LP5R_14,2014,Emergent,Emergent_2014,0.8766,-0.0574,-0.3166
LP6_14,2014,Meadow,Meadow_2014,-1.336,0.2433,0.7075
LP6R_14,2014,Emergent,Emergent_2014,0.613,0.1411,0.9841
LP7R_14,2014,Emergent,Emergent_2014,0.0897,0.7091,-0.5594
LP8R_14,2014,Meadow,Meadow_2014,-0.1535,-0.443,0.3891
