"","NMDS1","NMDS2","NMDS3","Sites","Year","Vegetation","VegYr"
"21",-0.301431775190729,0.714785335980719,0.0230217408256606,"CM10_14","2014","Remnant","2014_Remnant"
"1",1.35864644952578,0.415641153136611,0.349158691454146,"CM10_15","2015","Remnant","2015_Remnant"
"22",-0.623585184966866,0.27951430135452,-0.486159316947036,"CM19_14","2014","Invaded","2014_Invaded"
"7",-0.601883494578618,0.104714814772708,-0.287375141579524,"CM19_15","2015","Invaded","2015_Invaded"
"23",0.823771050141646,-0.120579727822129,-1.39543563023068,"CM2_14","2014","Invaded","2014_Invaded"
"8",0.46410030414845,-0.080414349740107,-0.327404241796599,"CM2_15","2015","Invaded","2015_Invaded"
"24",-1.27239224666214,-0.678821647340882,0.245385437956885,"CM4R_14","2014","Remnant","2014_Remnant"
"13",-0.0751843026390044,0.0130132137253115,1.42119303661231,"CM4R_15","2015","Remnant","2015_Remnant"
"25",-0.263747995257657,0.191940517281499,-0.293640325351789,"CM5R_14","2014","Remnant","2014_Remnant"
"14",-0.697774459542847,-0.406894860270887,-0.462304930804493,"CM5R_15","2015","Remnant","2015_Remnant"
"26",-0.507519945289169,0.12740792852339,0.511053196959871,"CM6_14","2014","Invaded","2014_Invaded"
"9",-0.170338173592763,0.17045170253127,0.479381365768846,"CM6_15","2015","Invaded","2015_Invaded"
"27",-0.322400903345135,1.13049386032095,0.26182397420464,"CM9_14","2014","Remnant","2014_Remnant"
"2",1.75849721231951,-0.0461737982882395,0.286166912888927,"CM9_15","2015","Remnant","2015_Remnant"
"28",-0.177456120999717,0.160864098594486,0.125212303848,"LP1_14","2014","Invaded","2014_Invaded"
"10",0.219045721968272,0.18367280285632,-0.206083292999217,"LP1_15","2015","Invaded","2015_Invaded"
"29",0.114419285026957,0.339777963712139,0.0606069277415012,"LP10_14","2014","Remnant","2014_Remnant"
"15",0.193749545263459,-1.56637220638876,-0.0229846171543951,"LP10_15","2015","Remnant","2015_Remnant"
"30",0.462230284099995,1.19816362314073,-0.256123408205246,"LP10R_14","2014","Remnant","2014_Remnant"
"16",-0.160695628347246,0.335230124666653,-0.0268830218562778,"LP10R_15","2015","Remnant","2015_Remnant"
"31",-0.122377525043458,1.23393506207858,-0.951546990373662,"LP12_14","2014","Remnant","2014_Remnant"
"3",0.110905082036037,-0.562043130239234,-0.16464090283215,"LP12_15","2015","Remnant","2015_Remnant"
"32",0.377721629746626,0.360682205079813,0.697686604380055,"LP12R_14","2014","Invaded","2014_Invaded"
"11",-0.758335439298559,0.165312230559435,-0.0294334942904035,"LP12R_15","2015","Invaded","2015_Invaded"
"33",-0.532722640114928,0.0801635179871341,-0.231488868975766,"LP15_14","2014","Remnant","2014_Remnant"
"17",-0.591341557977872,-0.0572349488984275,-0.0810339260185635,"LP15_15","2015","Remnant","2015_Remnant"
"34",0.793871317477554,0.101447133023655,0.769972844742833,"LP16R_14","2014","Invaded","2014_Invaded"
"12",-0.199148206814215,-0.18968407343295,0.284290698318646,"LP16R_15","2015","Invaded","2015_Invaded"
"35",-0.0236309371980593,0.497498035599989,0.251691963895145,"LP5_14","2014","Remnant","2014_Remnant"
"4",0.499367859719579,-0.387361825092083,0.759622886830113,"LP5_15","2015","Remnant","2015_Remnant"
"36",-0.883511971954716,0.0647176032220212,0.319230248662907,"LP5R_14","2014","Remnant","2014_Remnant"
"18",-0.137913665861847,-0.439580100114012,-0.00783256264127925,"LP5R_15","2015","Remnant","2015_Remnant"
"37",1.3484113496845,-0.279730368522207,-0.697502011618462,"LP6_14","2014","Remnant","2014_Remnant"
"5",0.185930858050512,-1.44651421936037,-0.781643112903044,"LP6_15","2015","Remnant","2015_Remnant"
"38",-0.630083586641218,-0.15149450410162,-0.985565955335235,"LP6R_14","2014","Remnant","2014_Remnant"
"19",-0.273003856462417,-0.453276954643021,-0.0897597248472174,"LP6R_15","2015","Remnant","2015_Remnant"
"39",-0.0841295360091214,-0.701375114035727,0.585981861940909,"LP7R_14","2014","Remnant","2014_Remnant"
"20",-0.418217291572203,-0.381236739391292,0.651897789616359,"LP7R_15","2015","Remnant","2015_Remnant"
"40",0.155448127824131,0.436211164807807,-0.403164389103679,"LP8R_14","2014","Remnant","2014_Remnant"
"6",0.962710368327499,-0.356849825273801,0.104627379216959,"LP8R_15","2015","Remnant","2015_Remnant"
