"","NMDS1","NMDS2","X.vector.12.vectors..r","X.vector.12.vectors..pvals"
"AMBI",-0.734140556902528,-0.6789975277649,0.205995419254022,0.014
"LEBI",-0.971275140648566,-0.237959242640645,0.016968095986734,0.721
"MAWR",-0.782286870058082,-0.622918335686733,0.313889073319921,0.002
"SORA",0.999996531756106,0.00263371899793269,0.240675243224073,0.008
"SWSP",-0.999749407360437,-0.0223857651746585,0.135385569341861,0.075
"VIRA",0.136330930634379,-0.990663352179924,0.257180078744387,0.007
"AMWO",0.983727664301458,-0.179666030423112,0.0441915892642867,0.353
"COYE",0.100661457190098,-0.994920736057082,0.0274517892928854,0.616
"RWBL",0.376765787709487,-0.926308556158071,0.274546176096608,0.005
"YWAR",0.446735192894759,0.894666232418147,0.363448588577694,0.001
"SOSP",0.99838361635579,-0.056834448992979,0.460932677154921,0.001
"CHSP",0.968094145363937,-0.25058676284287,0.121514944850968,0.16
"NOCA",-0.0792352532118208,0.996855944782624,0.121447011397471,0.201
"WIFL",0.098650389466893,-0.995122153636442,0.196550894852293,0.022
"TRES",0.999963164705158,0.00858307828495833,0.376237064565609,0.001
"BARS",0.999452954909516,-0.0330725100746278,0.119413284839539,0.095
"BANS",0.672288541858409,-0.740289211380184,0.0115474466294043,0.805
"EAKI",0.135962069379094,-0.990714043349621,0.449720717297966,0.001
"PUMA",0.989240267742687,0.146300009146879,0.321795736467783,0.004
"CSWA",0.670719568322816,0.741711035827873,0.213680520652148,0.023
"COGR",0.957895428996348,0.287117305483147,0.16166270562264,0.056
"CLIFF",0.907626519241268,-0.419778634008427,0.0688618624275605,0.26
"AMRO",0.102473874082945,-0.994735696117533,0.167783950903204,0.072
