"","NMDS1","NMDS2","X.vector.t.12.vectors..r","X.vector.t.12.vectors..pvals"
"MARSH",-0.288599687562789,-0.957449852649558,0.578947028494363,0.001
"OTHER",-0.852194947021238,0.523224399537588,0.821451292007781,0.001
"INSECT",-0.998468575089982,-0.0553218271370535,0.619752497408802,0.001
"SEED",-0.646267796511939,0.763110696551689,0.247264007671187,0.01
"FISH",-0.0480061713903862,-0.998847039094794,0.636279105080765,0.001
"OMNIV",-0.834887491515009,0.550420635979226,0.153791071037498,0.039
"GRD_FRG",-0.892056779926951,0.45192333573999,0.577672605872493,0.001
"STALK",-0.0480061713903862,-0.998847039094794,0.636279105080765,0.001
"PROBE",-0.898680424032612,-0.438604030374283,0.0549640052579722,0.346
"AER_FORG",-0.99994790300177,-0.010207413108308,0.297382359316672,0.003
"FOL_GLN",-0.488704841156655,0.872449183752297,0.210319970938835,0.016
"FLY_CAT",-0.763321958470785,-0.64601825648841,0.119615751890298,0.083
"SHRUB",-0.797495325799248,0.603325124065252,0.389935614599528,0.001
"TREE",-0.85673670072513,0.515754035980931,0.240613037203373,0.006
"FLOAT",-0.984833248827911,-0.173503521586917,0.0909799586017298,0.174
"GROUND",-0.263798435063981,-0.964577827683072,0.561339923009604,0.001
"CAVITY",-0.947774946687451,0.318939885294391,0.218306017395757,0.014
"BUILD",-0.848301504124853,0.529513510780899,0.112112405112479,0.122
"CLIFF",-0.957825582379033,-0.287350228362997,0.077735883504289,0.286
"BURROW",-0.768264040840046,-0.640133082688376,0.056216941622836,0.327
