"","NMDS1","NMDS2","NMDS3","X.vector.t.13.vectors..r","X.vector.t.13.vectors..pvals"
"MARSH",-0.288245411585782,-0.956274517066739,-0.0495341367999675,0.57941150123617,0.001
"OTHER",-0.852130275852715,0.523184693208143,-0.0123194873220493,0.82147091303105,0.001
"INSECT",-0.997504725397279,-0.0552684234271961,0.0439286259968563,0.61990731683764,0.001
"SEED",-0.454093366717128,0.536191819003328,-0.711545885756784,0.300352608689234,0.006
"FISH",-0.0465695195887964,-0.968955144851475,0.242811052283718,0.651312915878469,0.001
"OMNIV",-0.478181980392904,0.315253531088429,0.81972995843985,0.204555644281858,0.039
"GRD_FRG",-0.67290046665984,0.340896936559142,-0.656501516078647,0.642876540828734,0.001
"STALK",-0.0465695195887964,-0.968955144851475,0.242811052283718,0.651312915878469,0.001
"PROBE",-0.252438976305972,-0.123203698968455,-0.959737157664578,0.149720443792978,0.174
"AER_FORG",-0.353961217349358,-0.00361321660754377,0.935253121501504,0.565078558683366,0.001
"FOL_GLN",-0.430924196377181,0.769297604047822,0.471683721770173,0.225905074137035,0.026
"FLY_CAT",-0.365074044998823,-0.308971195472739,-0.878212811359721,0.191373627045927,0.052
"SHRUB",-0.404124585621037,0.30573033831048,-0.86209760441216,0.581436842286517,0.001
"TREE",-0.83870929735561,0.504901569828592,-0.20406155765818,0.242247959207838,0.024
"FLOAT",-0.293710037012115,-0.051744522037284,0.9544930165263,0.213578407575767,0.028
"GROUND",-0.233198556870731,-0.852689506481115,-0.467481591734264,0.61374049062568,0.001
"CAVITY",-0.367804250102336,0.123771414034975,0.92162935645217,0.388488451567764,0.003
"BUILD",-0.183255483105087,0.11438887442376,0.976387532345629,0.474433897466723,0.001
"CLIFF",-0.900799613247377,-0.27024228558713,0.339895813234027,0.0791205569830488,0.432
"BURROW",-0.185715557180094,-0.15474194521833,0.970342548902878,0.216278902609167,0.034
