Site,Site,Year,VegType,VegYr,Vegetation,Veg.Year,Depth,AMBI,LEBI,MAWR,SORA,SWSP,VIRA,AMWO,COYE,RWBL,YWAR,SOSP,CHSP,NOCA,WIFL,TRES,BARS,BANS,EAKI,PUMA,CSWA,COGR,CLIFF,AMRO
CM10_15,CM10_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,16,0,0,0,0,0,0,0,0.027273,0.04947,0.04,0.166667,0,0,0,0.12,0.1,0,0,0.5,0.5,0.5,0,0
CM9_15,CM9_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,15,0,0,0,0.666667,0.009434,0,0,0,0.021201,0,0.083333,0,0,0,0.08,0,0,0,0.5,0,0,0,0
LP12_15,LP12_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,14,0,0,0.05814,0,0.028302,0.142857,0,0.027273,0.038869,0,0.083333,0,0,0,0,0,0,0.1,0,0,0,0,0
LP5_15,LP5_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,7,0,0,0,0,0.009434,0,0,0.018182,0.04947,0.04,0,0,0,0,0.04,0.1,0.5,0.1,0,0,0,0,0
LP6_15,LP6_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,0,0,0,0,0,0.009434,0,0,0.045455,0.035336,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1
LP8R_15,LP8R_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,8,0,0,0.011628,0,0.056604,0.142857,0,0.054545,0.024735,0.08,0.166667,0,0,0,0.16,0.1,0,0,0,0,0,1,0
CM19_15,CM19_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,19,0,0,0.023256,0,0.066038,0,0,0.036364,0.014134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2_15,CM2_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,5,0,0,0.011628,0,0,0,0,0.018182,0.024735,0.08,0.083333,0,0,0,0,0,0,0.1,0,0,0,0,0
CM6_15,CM6_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,29,0,0,0.05814,0,0.009434,0,0,0.027273,0.014134,0.04,0,0,0,0,0,0.1,0,0,0,0,0,0,0
LP1_15,LP1_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,36,0,0,0.023256,0,0.009434,0,0,0.027273,0.024735,0.04,0.083333,0,0,0,0,0,0,0,0,0,0,0,0
LP12R_15,LP12R_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,42,0,0,0.034884,0,0.028302,0,0,0.018182,0.010601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
