"","B/(2A+B+C)","C/(2A+B+C)","D=(B+C)/(2A+B+C)","Change","Site","Year","VegType","Depth","Site.1","Year.1","VegType.1","Depth.1"
"Site.1",0.240511200833391,0.273824657670668,0.514335858504059,"+  ","CM4R_14",2014,"Emergent",34,"CM4R_15",2015,"Emergent",32
"Site.2",0.0309242943881011,0.181265429143338,0.21218972353144,"+  ","CM5R_14",2014,"Emergent",9,"CM5R_15",2015,"Emergent",39
"Site.3",0.0932197567448901,0.301709539263274,0.394929296008164,"+  ","LP10_14",2014,"Emergent",0,"LP10_15",2015,"Emergent",22
"Site.4",0.161692229138992,0.35027093492142,0.511963164060412,"+  ","LP10R_14",2014,"Emergent",0.33,"LP10R_15",2015,"Emergent",21
"Site.5",0.027109611649294,0.16174025640995,0.188849868059244,"+  ","LP15_14",2014,"Emergent",4,"LP15_15",2015,"Emergent",26
"Site.6",5.11449072785056e-05,0.448984302854539,0.449035447761818,"+  ","LP5R_14",2014,"Emergent",13,"LP5R_15",2015,"Emergent",39
"Site.7",0.0972976061611552,0.316897579765765,0.414195185926921,"+  ","LP6R_14",2014,"Emergent",1,"LP6R_15",2015,"Emergent",28
"Site.8",0.106913769459739,0.249615744842154,0.356529514301893,"+  ","LP7R_14",2014,"Emergent",12,"LP7R_15",2015,"Emergent",42
"Site.9",0,0.172115360343084,0.172115360343084,"+  ","CM19_14",2014,"Invaded",0,"CM19_15",2015,"Invaded",19
"Site.10",0.206530649486467,0.172394754970632,0.378925404457099,"-  ","CM2_14",2014,"Invaded",0,"CM2_15",2015,"Invaded",5
"Site.11",0.0716210917094448,0.142360597633243,0.213981689342688,"+  ","CM6_14",2014,"Invaded",6,"CM6_15",2015,"Invaded",29
"Site.12",0.256592074965937,0.113982057072917,0.370574132038854,"-  ","LP1_14",2014,"Invaded",9,"LP1_15",2015,"Invaded",36
"Site.13",0.332050241470314,0.249676131583451,0.581726373053765,"-  ","LP12R_14",2014,"Invaded",7,"LP12R_15",2015,"Invaded",42
"Site.14",0.243476574040211,0.0733743749694825,0.316850949009694,"-  ","LP16R_14",2014,"Invaded",16,"LP16R_15",2015,"Invaded",38
"Site.15",0.0569855690424992,0.598453718094889,0.655439287137389,"+  ","CM10_14",2014,"Meadow",0,"CM10_15",2015,"Meadow",16
"Site.16",0.116517304910885,0.641726235680921,0.758243540591806,"+  ","CM9_14",2014,"Meadow",0,"CM9_15",2015,"Meadow",15
"Site.17",0.056981682770995,0.48443733681666,0.541419019587655,"+  ","LP12_14",2014,"Meadow",0,"LP12_15",2015,"Meadow",14
"Site.18",0.000196553413862405,0.332432479654514,0.332629033068376,"+  ","LP5_14",2014,"Meadow",0,"LP5_15",2015,"Meadow",7
"Site.19",0.0936529494287246,0.343161806955937,0.436814756384662,"+  ","LP6_14",2014,"Meadow",0,"LP6_15",2015,"Meadow",0
"Site.20",4.52680414075522e-05,0.441260769270913,0.44130603731232,"+  ","LP8R_14",2014,"Meadow",0,"LP8R_15",2015,"Meadow",8
