"","Site","Year","VegType","Depth","AMBI","LEBI","MAWR","SORA","SWSP","VIRA","AMWO","COYE","RWBL","YWAR","SOSP","CHSP","NOCA","WIFL","TRES","BARS","BANS","EAKI","PUMA","CSWA","COGR","CLIFF","AMRO","LCBD"
"1","CM4R_14",2014,"Emergent",34,2,0,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121248997602919
"2","CM5R_14",2014,"Emergent",9,0,0,0,0,5,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0621220923414161
"3","LP10_14",2014,"Emergent",0,0,0,0,0,3,0,0,5,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0522165994264259
"4","LP10R_14",2014,"Emergent",0.33,0,0,0,0,3,0,0,5,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0575965248085564
"5","LP15_14",2014,"Emergent",4,0,0,2,0,4,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510940401743864
"6","LP5R_14",2014,"Emergent",13,0,0,5,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462694284469277
"7","LP6R_14",2014,"Emergent",1,0,1,1,0,6,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041505175426483
"8","LP7R_14",2014,"Emergent",12,1,0,6,0,1,1,0,2,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0557795955483806
"9","CM19_14",2014,"Invaded",0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431560672688315
"10","CM2_14",2014,"Invaded",0,0,0,0,0,3,0,1,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0215364705507644
"11","CM6_14",2014,"Invaded",6,0,0,5,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055023785025289
"12","LP1_14",2014,"Invaded",9,0,0,5,0,6,0,0,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0489453732540473
"13","LP12R_14",2014,"Invaded",7,0,0,1,0,1,0,0,0,6,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0386787866092283
"14","LP16R_14",2014,"Invaded",16,0,0,3,1,1,0,0,4,8,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0.0290509196478444
"15","CM10_14",2014,"Meadow",0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464555966027479
"16","CM9_14",2014,"Meadow",0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748545427916888
"17","LP12_14",2014,"Meadow",0,0,0,0,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0478665794294992
"18","LP5_14",2014,"Meadow",0,0,0,0,0,1,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0479650168158505
"19","LP6_14",2014,"Meadow",0,0,0,0,0,0,0,0,3,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0284402282866391
"20","LP8R_14",2014,"Meadow",0,0,0,0,0,5,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0301941799420739
