"","NMDS1","NMDS2","NMDS3","species"
"AMBI",1.06608192525716,0.680999442142672,0.196063565912034,"AMBI"
"LEBI",0.49646828580676,0.0546970125697858,0.27744622643538,"LEBI"
"MAWR",0.45636585608141,0.207305611471758,0.342598227068332,"MAWR"
"SORA",-1.62832630658847,-0.0275992263484261,0.567511286888182,"SORA"
"SWSP",0.291933227790013,-0.0222731485860446,-0.213098358046943,"SWSP"
"VIRA",-0.102033283140348,0.989596417692446,0.176158296934876,"VIRA"
"AMWO",-0.899726060431601,0.116119478034742,-1.7577175200688,"AMWO"
"COYE",0.0697023630357989,0.0350436747957882,-0.127190189742886,"COYE"
"RWBL",-0.0302246335825123,0.18019766332569,0.0827903288882745,"RWBL"
"YWAR",-0.246604759131005,-0.528154173392911,0.124343645982143,"YWAR"
"SOSP",-0.945896482406322,0.0201856201381352,-0.354122082007729,"SOSP"
"CHSP",-1.5241203167382,0.288607357233421,-0.878375468682095,"CHSP"
"NOCA",0.218844243088019,-1.44005931487879,-1.20115167819704,"NOCA"
"WIFL",-0.151797539392275,1.77155447017105,-0.0277625608179212,"WIFL"
"TRES",-0.657189686735981,-0.0297547782090207,0.439893647610534,"TRES"
"BARS",-0.481290538189827,-0.0100224434164589,0.696415896777149,"BARS"
"BANS",-0.173796645246203,0.190644626381265,1.37774739121054,"BANS"
"EAKI",-0.112970824799959,1.05222477680596,-0.278118632140432,"EAKI"
"PUMA",-1.7727778688657,-0.236069388904935,0.404848227329691,"PUMA"
"CSWA",-1.00341591259465,-0.951250675073877,0.064505037097663,"CSWA"
"COGR",-1.20019771089862,-0.320253087825383,0.709915691487949,"COGR"
"CLIFF",-1.06466114998517,0.386456675464744,0.133814441187787,"CLIFF"
"AMRO",-0.142992564496669,1.63380895283467,-0.983581702997913,"AMRO"
