,Water depth,Veg Type,Year,VegYr
1,0,3,4,34
2,0,3,4,34
3,0,3,4,34
4,0,3,4,34
5,0,3,4,34
6,0,3,4,34
7,0,2,4,24
8,0,2,4,24
9,6,2,4,24
10,9,2,4,24
11,7,2,4,24
12,16,2,4,24
13,34,1,4,14
14,9,1,4,14
15,0,1,4,14
16,0.33,1,4,14
17,4,1,4,14
18,13,1,4,14
19,1,1,4,14
20,12,1,4,14
21,16,3,5,35
22,15,3,5,35
23,14,3,5,35
24,7,3,5,35
25,0,3,5,35
26,8,3,5,35
27,19,2,5,25
28,5,2,5,25
29,29,2,5,25
30,36,2,5,25
31,42,2,5,25
32,38,2,5,25
33,32,1,5,15
34,39,1,5,15
35,22,1,5,15
36,21,1,5,15
37,26,1,5,15
38,39,1,5,15
39,28,1,5,15
40,42,1,5,15
