Site,Year,VegType,VegYr,Axis1,Axis2,Axis3
CM10_15,2015,Meadow,Meadow_2015,1.246,-0.2751,-0.306
CM9_15,2015,Meadow,Meadow_2015,1.3912,-1.3516,0.4082
LP12_15,2015,Meadow,Meadow_2015,0.0579,0.4154,-0.4857
LP5_15,2015,Meadow,Meadow_2015,1.0724,0.2116,-0.5181
LP6_15,2015,Meadow,Meadow_2015,0.1902,0.1023,-1.2201
LP8R_15,2015,Meadow,Meadow_2015,1.4305,0.3502,0.4261
CM19_15,2015,Invaded,Invaded_2015,-0.5002,-0.0223,-0.0214
CM2_15,2015,Invaded,Invaded_2015,-0.1364,-0.0759,-0.7714
CM6_15,2015,Invaded,Invaded_2015,0.0677,-0.2793,0.0753
LP1_15,2015,Invaded,Invaded_2015,-0.5063,-0.1713,-0.0647
LP12R_15,2015,Invaded,Invaded_2015,-0.7585,-0.2084,0.0981
LP16R_15,2015,Invaded,Invaded_2015,0.1605,-0.2357,0.0517
CM4R_15,2015,Emergent,Emergent_2015,0.6846,1.0185,0.7385
CM5R_15,2015,Emergent,Emergent_2015,-0.0673,0.9034,0.4102
LP10_15,2015,Emergent,Emergent_2015,0.2878,0.6395,-0.846
LP10R_15,2015,Emergent,Emergent_2015,-0.3117,-0.0284,-0.19
LP15_15,2015,Emergent,Emergent_2015,-0.4034,0.048,-0.0968
LP5R_15,2015,Emergent,Emergent_2015,0.2771,0.0254,-0.4668
LP6R_15,2015,Emergent,Emergent_2015,-0.0046,0.1174,-0.6254
LP7R_15,2015,Emergent,Emergent_2015,0.2854,-0.1384,0.4464
CM10_14,2014,Meadow,Meadow_2014,-0.9658,-0.3458,-0.1021
CM19_14,2014,Invaded,Invaded_2014,-0.6734,-0.1326,0.0539
CM2_14,2014,Invaded,Invaded_2014,-0.1066,1.7021,-0.6671
CM4R_14,2014,Emergent,Emergent_2014,-0.1017,1.4382,0.7732
CM5R_14,2014,Emergent,Emergent_2014,-0.2152,-0.2718,0.229
CM6_14,2014,Invaded,Invaded_2014,-0.5594,0.3392,0.1457
CM9_14,2014,Meadow,Meadow_2014,-1.4312,-0.5887,0.1329
LP1_14,2014,Invaded,Invaded_2014,-0.1083,-0.0806,0.202
LP10_14,2014,Emergent,Emergent_2014,0.0592,-0.3053,0.3315
LP10R_14,2014,Emergent,Emergent_2014,-0.5996,-0.1182,0.3363
LP12_14,2014,Meadow,Meadow_2014,-0.3024,-1.0846,-0.19
LP12R_14,2014,Invaded,Invaded_2014,0.7909,-0.5033,0.5292
LP15_14,2014,Emergent,Emergent_2014,-0.4997,-0.0792,0.0025
LP16R_14,2014,Invaded,Invaded_2014,1.3759,-0.6844,-0.2811
LP5_14,2014,Meadow,Meadow_2014,-0.2244,-0.4793,0.3521
LP5R_14,2014,Emergent,Emergent_2014,-0.7693,-0.2574,0.0853
LP6_14,2014,Meadow,Meadow_2014,0.1458,-0.9447,0.0981
LP6R_14,2014,Emergent,Emergent_2014,-0.1609,0.9231,0.4797
LP7R_14,2014,Emergent,Emergent_2014,0.5629,0.6765,0.3954
LP8R_14,2014,Meadow,Meadow_2014,-0.6797,-0.2483,0.0511
