"","MARSH","OTHER","INSECT","SEED","FISH","OMNIV","GRD_FRG","STALK","PROBE","AER_FORG","FOL_GLN","FLY_CAT","SHRUB","TREE","FLOAT","GROUND","CAVITY","BUILD","CLIFF","BURROW"
"CM10_15",0.027273,1.976137,1.50341,0,0,0.5,0.716137,0,0,0.72,0.567273,0,0.78341,0.5,0,0,0.62,0.1,0,0
"CM9_15",0.676101,0.684534,0.693968,0.666667,0,0,0.780635,0,0,0.58,0,0,0.113968,0,0.666667,0,0.58,0,0,0
"LP12_15",0.256572,0.222202,0.478774,0,0,0,0.351501,0,0,0,0.027273,0.1,0.235917,0.1,0,0.142857,0,0,0,0
"LP5_15",0.027616,0.82947,0.857086,0,0,0,0.058904,0,0,0.64,0.058182,0.1,0.117086,0.1,0,0,0.04,0.1,0,0.5
"LP6_15",0.054889,1.335336,1.390225,0,0,0,1.04477,0,0,0,0.045455,0.3,0.090225,1.3,0,0,0,0,0,0
"LP8R_15",0.265634,1.531402,1.797036,0,0,0,0.402491,0,0,1.26,0.134545,0,0.394179,0,0,0.142857,0.16,0.1,1,0
"CM19_15",0.125658,0.014134,0.139792,0,0,0,0.103428,0,0,0,0.036364,0,0.139792,0,0,0,0,0,0,0
"CM2_15",0.02981,0.288068,0.317878,0,0,0,0.119696,0,0,0,0.098182,0.1,0.217878,0.1,0,0,0,0,0,0
"CM6_15",0.094847,0.154134,0.248981,0,0,0,0.081708,0,0,0.1,0.067273,0,0.148981,0,0,0,0,0.1,0,0
"LP1_15",0.059963,0.148068,0.208031,0,0,0,0.140758,0,0,0,0.067273,0,0.208031,0,0,0,0,0,0,0
"LP12R_15",0.081368,0.010601,0.091969,0,0,0,0.073787,0,0,0,0.018182,0,0.091969,0,0,0,0,0,0,0
"LP16R_15",0.06974,0.131802,0.201542,0,0,0,0.08336,0,0,0.1,0.018182,0,0.101542,0,0,0,0,0.1,0,0
"CM4R_15",0.579201,0.594134,0.673335,0,0.5,0,0.093335,0.5,0,0.54,0.04,0,0.133335,0,0,0.5,0.04,0,0,0.5
"CM5R_15",0.363687,0.021201,0.134888,0,0.25,0,0.089433,0.25,0,0,0.045455,0,0.134888,0,0,0.25,0,0,0,0
"LP10_15",1.504522,0.242403,1.746925,0,0,0,0.50147,0,0,0,0.045455,1.2,1.118354,0.2,0,0.428571,0,0,0,0
"LP10R_15",0.075951,0.085936,0.161887,0,0,0,0.076432,0,0,0,0.085455,0,0.161887,0,0,0,0,0,0,0
"LP15_15",0.121298,0.031802,0.1531,0,0,0,0.134918,0,0,0,0.018182,0,0.1531,0,0,0,0,0,0,0
"LP5R_15",0.155495,0.182403,0.337898,0,0,0,0.161534,0,0,0.04,0.036364,0.1,0.197898,0.1,0,0,0.04,0,0,0
"LP6R_15",0.111178,0.145936,0.257114,0,0,0,0.12075,0,0,0,0.036364,0.1,0.157114,0.1,0,0,0,0,0,0
"LP7R_15",0.067574,0.128339,0.195913,0,0,0,0.155913,0,0,0.04,0,0,0.155913,0,0,0,0.04,0,0,0
"CM10_14",0.045798,0.047067,0.092865,0,0,0,0.016501,0,0,0,0.076364,0,0.092865,0,0,0,0,0,0,0
"CM19_14",0.083877,0.010601,0.094478,0,0,0,0.067205,0,0,0,0.027273,0,0.094478,0,0,0,0,0,0,0
"CM2_14",0.037393,1.194936,1.232329,0,0,0,0.223238,0,1,0,0.009091,0,0.232329,0,0,1,0,0,0,0
"CM4R_14",0.630073,0,0.130073,0,0.5,0,0.111891,0.5,0,0,0.018182,0,0.130073,0,0,0.5,0,0,0,0
"CM5R_14",0.074443,0.057668,0.132111,0,0,0,0.064838,0,0,0.04,0.027273,0,0.092111,0,0,0,0.04,0,0,0
"CM6_14",0.238047,0.047067,0.285114,0,0,0,0.226932,0,0,0,0.058182,0,0.142257,0,0,0.142857,0,0,0,0
"CM9_14",0.009091,0.047067,0.056158,0,0,0,0.007067,0,0,0,0.049091,0,0.056158,0,0,0,0,0,0,0
"LP1_14",0.132926,0.097668,0.230594,0,0,0,0.132412,0,0,0.04,0.058182,0,0.190594,0,0,0,0.04,0,0,0
"LP10_14",0.073757,0.141201,0.214958,0,0,0,0.049503,0,0,0.08,0.085455,0,0.134958,0,0,0,0.08,0,0,0
"LP10R_14",0.073757,0.703534,0.777291,0,0,0,0.031836,0,0,0,0.745455,0,0.777291,0,0,0,0,0,0,0
"LP12_14",0.055575,1.047067,0.102642,1,0,0,1.035369,0,0,0,0.067273,0,1.102642,0,0,0,0,0,0,0
"LP12R_14",0.021062,0.341201,0.362263,0,0,0,0.042263,0,0,0.28,0.04,0,0.082263,0,0,0,0.08,0.2,0,0
"LP15_14",0.088265,0.024735,0.113,0,0,0,0.085727,0,0,0,0.027273,0,0.113,0,0,0,0,0,0,0
"LP16R_14",0.414015,0.888269,0.468951,0.333333,0,0.5,0.90592,0,0,0.32,0.076364,0,0.148951,0.5,0.333333,0,0.12,0.2,0,0
"LP5_14",0.027616,0.101201,0.128817,0,0,0,0.030635,0,0,0.04,0.058182,0,0.088817,0,0,0,0.04,0,0,0
"LP5R_14",0.076665,0.014134,0.090799,0,0,0,0.081708,0,0,0,0.009091,0,0.090799,0,0,0,0,0,0,0
"LP6_14",0.027273,1.144534,0.171807,1,0,0,1.104534,0,0,0.04,0.027273,0,1.131807,0,0,0,0.04,0,0,0
"LP6R_14",0.595505,0.017668,0.113173,0,0.5,0,0.0859,0.5,0,0,0.027273,0,0.113173,0,0,0.5,0,0,0,0
"LP7R_14",0.49024,0.178869,0.419109,0,0.25,0,0.260927,0.25,0,0.14,0.018182,0,0.136252,0,0,0.392857,0.04,0.1,0,0
"LP8R_14",0.056261,0.137467,0.193728,0,0,0,0.144637,0,0,0,0.049091,0,0.193728,0,0,0,0,0,0,0
