"","Site","Site.1","Veg.Year","Year","VegType","VegYr","Depth","H","J","D","I","logSimp","logPielou"
"1","CM10_14","CM10_14","2014_Remnant","2014","Remnant","Meadow_2014",0,1.15824984436737,0.835500653289609,0.645023664314331,2.81708919573022,1.03570415176897,-0.179724149032441
"2","CM10_15","CM10_15","2015_Remnant","2015","Remnant","Meadow_2015",16,1.79235563859394,0.815736205157001,0.79894393906329,4.97373715241933,1.60417149967838,-0.203664254277496
"3","CM19_14","CM19_14","2014_Invaded","2014","Invaded","Invaded_2014",0,0.91102920560199,0.829254519541617,0.5451301279616,2.19843093920184,0.787743896455705,-0.187228151014123
"4","CM19_15","CM19_15","2015_Invaded","2015","Invaded","Invaded_2015",19,1.23462956493169,0.890596975330925,0.671270386605812,3.04201373790099,1.11251970990218,-0.115863282315298
"5","CM2_14","CM2_14","2014_Invaded","2014","Invaded","Invaded_2014",0,0.649581530443333,0.403607697709141,0.322114376033322,1.47517511014388,0.388776701486887,-0.907311918065285
"6","CM2_15","CM2_15","2015_Invaded","2015","Invaded","Invaded_2015",5,1.54537291543492,0.862489046088713,0.75830906305277,4.13751550898384,1.42009548909104,-0.14793283034427
"7","CM4R_14","CM4R_14","2014_Remnant","2014","Remnant","Emergent_2014",34,0.673293702005892,0.485678742472836,0.346737781464085,1.53077886892218,0.425776670529908,-0.722207897372592
"8","CM4R_15","CM4R_15","2015_Remnant","2015","Remnant","Emergent_2015",32,1.21718876515991,0.62551128876676,0.630746961866217,2.70816999923422,0.996273129754034,-0.469185901649282
"9","CM5R_14","CM5R_14","2014_Remnant","2014","Remnant","Emergent_2014",9,1.32423522989884,0.955233799572759,0.720340618182279,3.57577848273937,1.27418290984988,-0.0457991521574744
"10","CM5R_15","CM5R_15","2015_Remnant","2015","Remnant","Emergent_2015",39,1.07987289386672,0.670962753843376,0.538575475872143,2.16720167158456,0.773436783099155,-0.399041651981246
"11","CM6_14","CM6_14","2014_Invaded","2014","Invaded","Invaded_2014",6,1.39290001619425,0.777392300761417,0.678620822525037,3.11158926927649,1.13513361472533,-0.251810164444525
"12","CM6_15","CM6_15","2015_Invaded","2015","Invaded","Invaded_2015",29,1.52889454037943,0.853292289861945,0.741693029978524,3.87136282043361,1.35360659503428,-0.158653129151408
"13","CM9_14","CM9_14","2014_Remnant","2014","Remnant","Meadow_2014",0,0.797272890306373,0.725709059083016,0.450620777875515,1.82023629530971,0.598966325248934,-0.32060608954182
"14","CM9_15","CM9_15","2015_Remnant","2015","Remnant","Meadow_2015",15,1.15440488803543,0.644285635355276,0.617394695946251,2.61365953217292,0.960751358889252,-0.439613118049175
"15","LP1_14","LP1_14","2014_Invaded","2014","Invaded","Invaded_2014",9,1.69703663877323,0.947134181746151,0.80390612693486,5.09959839320331,1.62916179019889,-0.0543145044435242
"16","LP1_15","LP1_15","2015_Invaded","2015","Invaded","Invaded_2015",36,1.58829150448279,0.886442366712916,0.75668617034883,4.10991845976721,1.41340318883864,-0.120539167749429
"17","LP10_14","LP10_14","2014_Remnant","2014","Remnant","Emergent_2014",0,1.50472471104003,0.934938029864287,0.755087824513484,4.08309630998748,1.40685560010418,-0.0672750301099618
"18","LP10_15","LP10_15","2015_Remnant","2015","Remnant","Emergent_2015",22,1.17965874937764,0.606224675867145,0.597598194365529,2.48507831226873,0.910304173043476,-0.500504609368443
"19","LP10R_14","LP10R_14","2014_Remnant","2014","Remnant","Emergent_2014",0.33,0.94427335129151,0.586710020931096,0.515245423808398,2.06289955601109,0.724112544591192,-0.533224583034101
"20","LP10R_15","LP10R_15","2015_Remnant","2015","Remnant","Emergent_2015",21,1.49917820523764,0.931491792044528,0.760850571018335,4.18148604518168,1.43066669655818,-0.0709679005257163
"21","LP12_14","LP12_14","2014_Remnant","2014","Remnant","Meadow_2014",0,0.426807922087473,0.265190672339744,0.174881747577769,1.21194749608845,0.192228566649746,-1.3273061934619
"22","LP12_15","LP12_15","2015_Remnant","2015","Remnant","Meadow_2015",14,1.78256924060232,0.916059377904836,0.808971634344225,5.23482466369397,1.65533335067544,-0.0876740933687149
"23","LP12R_14","LP12R_14","2014_Invaded","2014","Invaded","Invaded_2014",7,1.27630175763908,0.712317573624403,0.629108960484864,2.69620965043344,0.991846953540521,-0.339231436640787
"24","LP12R_15","LP12R_15","2015_Invaded","2015","Invaded","Invaded_2015",42,1.29988017855179,0.937665343673263,0.709059282696424,3.43712633029831,1.23463575317077,-0.0643621701035147
"25","LP15_14","LP15_14","2014_Remnant","2014","Remnant","Emergent_2014",4,1.3672251564652,0.986244476505491,0.73995739791683,3.84552374106827,1.3469098072232,-0.0138510073391391
"26","LP15_15","LP15_15","2015_Remnant","2015","Remnant","Emergent_2015",26,1.3092985946948,0.944459294804539,0.71376096752463,3.49358363655749,1.25092803934423,-0.0571426900528799
"27","LP16R_14","LP16R_14","2014_Invaded","2014","Invaded","Invaded_2014",16,1.64648445574509,0.74934736882526,0.752032876902357,4.03279268440045,1.39445910975976,-0.288552626173389
"28","LP16R_15","LP16R_15","2015_Invaded","2015","Invaded","Invaded_2015",38,1.38095601985016,0.858036218223299,0.687738704567245,3.20244620331228,1.16391495630645,-0.153108968003625
